P1,1,2,1,2,3,4,5,6,7,8,7,6,7,6,5,4,3,4,5,4,5,-1,0,-1,0,1,2,3,2,3,2,1,0,1,2,1,0,-1,-2,-1,-2,-1,-1,0,1,2,3,4,5,4,5,4,5,6,7,6,7,8,9,8,9,10,11,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,1,2,3,2,3,4,5,4,3,4,3,2,3,4,5,4,3,2,3,2,3,1,2,3,2,3,4,3,4,3,4,3,4,3,2,1,2,3,4,5,4,5,1,2,3,4,5,6,5,4,5,6,7,6,5,4,3,2,1,0,1,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,-1,-2,-3,-2,-1,0,1,2,1,2,1,0,1,2,1,0,1,0,1,0,-1,1,2,3,2,3,4,5,6,5,4,3,2,1,0,-1,-2,-1,-2,-1,-2,-1,-1,-2,-3,-4,-3,-2,-1,0,1,0,1,2,1,0,1,2,3,4,5,6,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,-1,0,1,0,-1,-2,-1,0,-1,0,-1,-2,-1,0,-1,-2,-3,-4,-5,-6,-5,-1,0,1,2,1,0,1,0,1,2,1,0,1,2,3,4,3,2,1,0,1,1,2,3,2,3,4,5,4,3,4,5,6,7,8,7,6,7,8,9,10,11,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,-1,0,1,0,1,0,-1,-2,-1,-2,-3,-2,-3,-4,-3,-4,-3,-2,-1,-2,-1,-1,-2,-3,-4,-5,-6,-5,-6,-7,-6,-7,-6,-5,-4,-3,-4,-5,-4,-5,-6,-7,1,0,-1,0,-1,0,-1,0,-1,-2,-1,0,-1,-2,-1,0,-1,0,-1,0,-1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,-1,0,-1,0,-1,-2,-3,-2,-3,-2,-3,-2,-1,0,-1,-2,-3,-2,-1,0,1,-1,-2,-3,-4,-3,-4,-3,-4,-5,-6,-7,-6,-5,-6,-5,-4,-3,-4,-5,-6,-7,1,0,1,0,-1,0,-1,-2,-1,-2,-1,0,1,0,-1,-2,-3,-4,-5,-6,-7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,-1,-2,-1,-2,-1,-2,-3,-4,-5,-6,-7,-6,-7,-6,-5,-4,-5,-6,-5,-6,-7,-1,0,1,2,1,0,1,2,1,0,-1,-2,-1,0,-1,-2,-3,-2,-1,0,1,1,0,1,0,-1,0,-1,-2,-1,0,1,0,-1,0,-1,-2,-1,-2,-1,-2,-3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,1,0,-1,0,1,2,1,0,-1,0,-1,0,1,0,-1,-2,-1,-2,-3,-4,-5,-1,0,-1,-2,-3,-2,-3,-4,-5,-6,-7,-6,-7,-6,-7,-8,-7,-8,-7,-8,-9,-1,-2,-1,-2,-3,-2,-1,0,1,0,1,2,1,0,1,2,3,4,3,4,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,-1,-2,-3,-4,-3,-2,-1,-2,-1,0,-1,0,-1,0,1,2,3,4,3,4,3,1,2,3,2,1,0,-1,0,1,0,-1,0,-1,0,-1,0,-1,0,1,0,-1,-1,-2,-3,-2,-3,-4,-5,-6,-5,-6,-5,-4,-3,-2,-3,-2,-3,-2,-3,-4,-3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,1,2,3,2,1,2,1,0,-1,-2,-3,-4,-5,-4,-3,-2,-1,0,1,2,1,-1,-2,-3,-2,-3,-2,-1,0,-1,0,-1,-2,-1,0,1,0,1,0,-1,-2,-1,-1,-2,-3,-4,-3,-2,-3,-4,-3,-4,-3,-2,-3,-2,-1,-2,-1,-2,-3,-4,-5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
