P1,3,3,0,3,1,0,2,2,1,2,0,3,3,3,0,0,1,0,2,1,2,1,1,1,3,2,3,3,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,1,3,2,3,3,1,0,2,0,0,0,1,0,3,0,0,0,0,1,3,2,2,2,1,2,3,1,3,1,3,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,3,3,3,1,0,2,3,0,2,2,2,2,0,0,3,0,2,3,0,3,0,1,0,3,2,2,2,0,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0,1,3,0,1,0,1,0,0,0,3,2,0,0,0,0,1,0,0,0,2,2,3,3,1,3,1,0,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,3,3,1,3,0,0,3,0,3,3,2,2,3,0,0,0,1,2,3,3,1,1,0,0,1,3,2,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,2,2,2,3,2,1,2,1,0,3,3,0,0,1,2,0,3,2,0,3,2,1,0,3,2,2,1,2,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,2,1,3,2,3,0,3,3,3,3,2,1,2,3,0,0,1,2,2,0,0,1,0,3,0,3,3,0,2,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,3,2,1,2,2,3,2,1,0,0,1,3,2,2,0,0,0,3,2,2,1,0,0,1,2,2,1,1,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,2,3,0,2,1,0,0,3,3,2,0,2,2,0,3,0,0,3,0,1,2,0,0,3,2,3,2,1,1,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,3,2,2,2,2,2,0,3,2,3,1,2,3,0,0,0,2,2,3,3,1,2,2,3,2,1,2,0,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,3,3,2,2,2,1,1,3,3,3,1,3,0,2,0,0,3,2,3,1,1,1,0,1,3,0,3,1,0,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,3,2,1,3,0,1,1,0,0,2,1,1,0,0,3,0,0,1,2,1,1,1,2,2,3,2,1,0,0,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,3,1,0,1,0,2,0,3,2,0,3,0,1,1,0,0,0,0,1,0,2,1,1,2,0,2,0,1,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,3,3,2,3,1,0,3,1,1,1,2,2,1,0,2,0,2,2,1,0,1,0,0,1,3,1,0,0,2,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,3,3,0,0,0,0,2,2,2,3,0,2,0,0,1,0,0,0,2,1,2,0,0,3,2,3,0,0,0,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
