,0,1,2,3,4,5,6,7,8,9
P1,-1.5395414576230358e-05,2.016520557492421e-05,-1.0175145505553857e-05,1.338356715016684e-05,2.5009672438322354e-05,3.550899725194255e-06,-2.999185036708669e-06,-1.3606634691584003e-05,1.2987602321396768e-05,1.6684570025565911e-06
P2,3.092334690897347e-05,-1.3249492562346496e-05,1.0077419088726659e-05,-1.9362714026604317e-05,-1.0318377381665893e-05,3.283143560977751e-06,-1.3690627210452208e-05,-3.6801847529772426e-05,8.70961108202854e-08,-2.129101048823983e-05
P3,2.226236754289526e-05,9.4466636929285e-06,-5.08592967318484e-06,-2.4243805100230263e-05,-5.433977024492994e-07,8.004497398464037e-07,5.4307108503679966e-06,-1.644075832741708e-05,-2.3048602557327954e-05,-2.8267293514429672e-05
P4,2.1965130005538165e-05,-2.113514761711648e-05,3.2336501794526283e-05,3.1101657420303376e-05,8.715651724103789e-06,8.578768773192646e-06,-2.4854230266774767e-06,4.052579610580012e-05,4.327492583955898e-06,-3.875837539918359e-06
P5,-6.1357362133262995e-06,-2.6074149882271153e-06,-1.138460465466859e-05,-1.535922586551108e-05,5.306422219603199e-06,-3.973392223448921e-07,-1.1575064732189657e-05,-5.637916207125481e-06,2.8315593435315132e-05,1.4096792700917231e-05
P6,-3.6284188268330105e-06,2.4179565852873604e-05,1.988740882666914e-05,5.8029500628155924e-06,-3.732814132259652e-07,-7.5270079670566046e-06,4.664341265493872e-06,7.711580894796005e-06,3.0004533178593974e-05,8.010531436556246e-06
P7,1.392620046656776e-06,4.0971652157009274e-06,-1.2410342158754913e-06,-3.4229265870233585e-06,1.0221616069829628e-05,3.3624426714025173e-05,2.2899798502056846e-06,9.245900720072702e-06,9.006719004637975e-06,-3.961086283941833e-05
P8,1.2329029063516727e-05,1.6055841939840608e-05,2.1674458754846132e-06,4.801231815794557e-06,-4.8480032874569e-07,2.2743993091875426e-05,3.975548708802382e-06,1.1325695885485592e-05,1.2128838907328061e-05,1.921710969756443e-05
P9,-1.6725637589487107e-06,8.103545671949439e-06,-1.1223589141546838e-05,-1.7664847241733665e-05,-4.79532151234619e-06,1.876005786159257e-05,4.503389149714942e-06,1.6716158509082928e-05,1.3049071238524265e-05,5.945600350800904e-06
P10,5.4351396132186795e-05,-2.331802183331926e-05,6.434144292773733e-06,5.4886247596548925e-05,-2.6509431721381165e-05,6.721588451497843e-05,1.97807643961068e-05,9.69071872047617e-06,1.2534511309578226e-05,-1.79062143677443e-05
P11,8.461782529960344e-06,8.975089821906248e-07,-1.5234606767667181e-05,-1.1550127671107447e-05,1.941400191643374e-06,-1.3224158222699585e-05,7.900141760817415e-06,2.0687784399600964e-06,2.909094447126396e-05,-9.408168173537517e-06
P12,1.4323667947594375e-06,5.570380699168793e-06,1.3248426673791668e-05,1.8128259873038195e-05,-9.77723779635952e-06,-2.210900251961947e-06,1.4690015862814463e-05,1.648850454644417e-05,-1.5408947657143335e-05,-1.4110446457156088e-06
P13,3.524767278373527e-05,-3.983580062896048e-05,1.2195203012071564e-05,-2.68998881979073e-05,-4.100397832165542e-05,-5.213890627782391e-05,1.2954365593403992e-05,4.3348261097267415e-05,3.4901455663661476e-05,1.3058351694951193e-05
P14,2.1515128179218758e-05,-1.5992315829172648e-05,-9.996295587596409e-06,-1.481889604244553e-05,-1.1448725185700284e-05,-3.3837513816313168e-06,5.757777298793262e-06,1.0181480405889822e-05,1.1090688389703297e-05,-4.372687961838205e-06
P15,2.7012303080464187e-05,-9.443695043164771e-07,-5.7787168000570386e-06,1.4339389710815633e-06,-2.0358607868235833e-05,2.45084472496888e-06,1.1874200680773907e-05,-1.9794504706479145e-06,1.969883991214053e-05,1.2242322932486506e-05
