,0,1,2,3,4,5,6,7,8,9
P1,-8.279981685449739e-05,-8.203858908336316e-06,5.239556823434153e-05,2.667507170803522e-05,4.1826514013910444e-05,-1.1312262769452332e-06,6.13125174661422e-05,-2.380196124651202e-05,-2.3794924175724822e-05,2.689247979157883e-05
P2,0.0001254501585845418,-2.2613088497620116e-05,-4.309057561519285e-05,0.0001498356220210272,5.4964170788879795e-05,0.00018768541012454103,-2.1635113079627576e-05,-7.0764298720873194e-06,0.000144839446047252,7.581017294251117e-08
P3,6.808383801154062e-05,-1.1523604329945601e-05,-7.205531544037273e-05,1.2750040101108372e-06,3.150352859475781e-05,-6.914906624278351e-05,-4.390236069429449e-05,7.031223807559797e-05,-2.109101573564108e-05,-5.011117584236824e-05
P4,8.208037123147351e-05,-0.00017435004225144587,-0.00011504859180172175,-4.6068299501897045e-05,-0.00013697545175621263,-9.021103546189273e-05,-0.00019703411019475242,1.80383984157333e-05,-3.3901242108848404e-05,-2.559561195262716e-05
P5,-2.1010792610574088e-05,5.860104634227277e-05,4.354427587486545e-05,-3.429011424901018e-05,4.437266111749017e-05,2.3983789008757625e-05,-9.141847788213687e-05,-2.0735228843023548e-05,0.00012081351294822903,5.43390162951939e-05
P6,7.727792432674074e-05,-3.396584858233933e-05,2.1725182174489686e-05,-2.194691590101227e-06,-6.0860774123382404e-05,0.00014022861032374906,0.00012989980777318227,8.205296252979262e-05,7.597117578081111e-05,-0.0001244370699900668
P7,9.705969357260346e-05,4.994240516136796e-05,-3.842047422533625e-05,-1.7045355786781367e-06,8.917404370754542e-05,-9.569964663911582e-05,-0.00010216594941990943,8.30628790952023e-05,-2.0112948373305316e-05,3.7537523545063215e-05
P8,6.259072295521778e-06,6.247795480503405e-06,-4.855293073555665e-06,6.43010399590813e-05,-4.378049498283791e-05,2.611179569917202e-05,2.0734658253402424e-05,9.337649227960276e-05,-7.188732130168976e-06,0.00011711289170024787
P9,-5.0304060201229565e-05,3.629028516437187e-05,1.7143207789054038e-05,-9.340936652423894e-05,3.251441769565365e-05,-5.646046664804002e-05,7.013891342216123e-05,-0.00011700845827531206,-6.819895060638419e-05,-9.825349157187508e-05
P10,-6.436962226938846e-05,-3.5087903285465995e-05,1.7154412551613008e-05,4.237217732702171e-05,6.485679527362285e-05,2.9110142429149798e-05,5.1043653253909915e-05,7.941161503930263e-06,5.494698432998487e-05,8.502636729224929e-06
P11,2.4480035615627753e-05,-4.1935460524406245e-05,-6.280563591376455e-05,5.1868861424771845e-05,-5.619829414529702e-05,-0.00017037345059040237,-9.452029927588972e-05,6.489847835470467e-05,-0.0002170046441861504,3.264375373193602e-05
P12,-1.9825865375991143e-05,-4.110472064743385e-05,-6.547829440147184e-06,-1.2547226384382933e-05,-7.626709619406582e-05,1.884981183081615e-05,-3.8643653718147854e-05,-5.8241130815161546e-05,3.17509296691304e-07,-6.53879407582676e-05
P13,0.0001364750265148403,-6.27829294139347e-06,6.822262517166915e-05,-6.529863435456159e-05,0.00011101913997946765,1.300432954788426e-07,-1.0390053419837876e-06,-2.8613803283062062e-05,-1.500805446547765e-05,9.282488461417255e-05
P14,8.909750632500688e-05,6.893966656001434e-05,-1.6109640569443237e-05,3.949550304820559e-05,0.0001387110917332921,-4.03405131964487e-05,-0.00011498780116213445,1.6411619690303008e-05,2.3518802034314112e-05,-7.683564750412267e-05
P15,4.108127609961853e-05,9.05745540076883e-06,-7.566491120171068e-05,-8.221284920956543e-05,4.84561774021482e-05,-5.2350400918095216e-05,-8.546219972967216e-05,2.9142334284819674e-05,0.00010437564546631048,-4.187587131579483e-05
P16,4.433637288300601e-05,-1.4858942126548948e-05,7.1537764978956905e-06,2.945739823002891e-05,4.874493370630724e-05,5.420222959611441e-05,0.0001359167097229844,5.029434162389561e-05,6.631257931056719e-07,8.506499614253182e-05
P17,6.881459812460577e-05,3.5466730971379592e-06,-8.587845697338552e-06,6.193283182657746e-05,-4.6404700449578003e-05,2.281872441748864e-05,-6.735488107732085e-05,-0.00011637734048691077,-0.00010541219992963625,-5.0319901931678964e-05
P18,-4.226933293724282e-05,-8.839569149968681e-05,-2.4481572311088953e-05,3.905599014023681e-05,-3.0094206127131897e-05,-6.33789474887023e-05,-3.6737478243379154e-05,6.086863786970188e-05,-4.7017194877595724e-05,7.064893901807013e-05
P19,3.4793027584011224e-05,2.9819951649662712e-05,0.00010406387767354641,-4.632534654463267e-05,-8.803501184170706e-06,-8.076025811380033e-08,-5.961348714994888e-05,-3.223772520983496e-05,-3.210020826276269e-05,-2.4133512445691716e-07
P20,7.587041059991541e-05,-1.1009160290932968e-05,-2.133166168445319e-05,1.3535766953059938e-05,0.00016293598509503865,-6.14335534704219e-05,-8.609618766947298e-05,-4.3611094180612134e-05,-4.897878209523133e-06,-2.274936150961003e-05
P21,-8.263833474403751e-07,1.9296726120298857e-05,-1.8229410180053366e-06,4.125871109659585e-05,3.961610861740253e-05,4.7654222075539654e-07,-3.199497650458296e-05,-1.974954492481285e-05,1.5378412908471223e-06,-6.073707105730961e-05
P22,-5.4810048542920957e-05,6.340374227267185e-05,0.00010555256056087124,4.124316867051012e-05,-8.018655754031241e-05,0.0001378490324934205,4.052155145014614e-05,-9.47432382987167e-05,1.636742747400605e-05,-5.382725056925909e-05
P23,2.0281743936797613e-05,-1.0762796485083348e-05,-3.947787857573777e-05,-3.572311837688391e-05,-7.240122246552575e-05,-6.506285523547473e-05,-0.00010537252916524337,3.633425305922316e-05,-2.0562120808339905e-05,-1.1173559451040473e-05
P24,2.9919118571576815e-05,0.00010259255607325798,2.648982591900049e-06,-6.971381556605295e-05,6.389904641993134e-06,6.902993306252565e-05,3.0667833056035026e-05,-8.31261811869979e-06,0.0001161477316406266,-2.782920831997809e-07
P25,-4.492334740507703e-06,4.903228724842997e-06,-0.0001286459578634107,0.0001317560274854599,-2.1583232700070083e-05,5.233586961261947e-05,5.221160279589212e-07,-5.417095164397378e-06,2.90844068445051e-05,5.481794460903716e-05
P26,-4.0138918801502655e-05,-4.965190319419164e-05,8.369609726847221e-05,1.6007038958038358e-05,0.00010820221551579613,6.229940736766221e-06,-2.3875930555568824e-05,-4.068409988008362e-05,3.645115467691912e-05,3.426537969538478e-05
P27,-1.798575483405538e-05,-4.422159645928672e-05,6.225130106497691e-05,3.90042583322636e-05,-4.9540927496453165e-05,-3.3126292595785783e-06,7.407835029159672e-05,4.3825330145630826e-05,-0.00011233587082944358,5.911763569254308e-06
P28,4.5079349558235825e-05,3.18432294181205e-05,6.972242788576342e-05,2.893674724687681e-05,-2.4193733198258228e-06,7.011546081613952e-05,4.106905736221689e-05,5.790152997924925e-05,1.3997835768807861e-05,0.00011440481516016827
P29,2.102498372671827e-05,4.649839579151236e-05,6.863538213457707e-05,5.352444370194812e-05,-0.00012491979163172006,3.87852414668933e-05,-8.868733772365378e-05,-1.980557992603332e-05,-7.814302568629481e-05,5.404653944712109e-05
