,0,1,2,3,4,5,6,7,8,9
P1,0.00011594231303100385,-4.385547271348227e-05,-0.00014588706628203144,-6.651988996922084e-05,4.634003207931378e-05,-0.00017825882381394906,-7.930880993942797e-05,2.400127774639842e-05,6.78338238552555e-05,2.944899980738339e-05
P2,4.83393203250717e-05,-3.2506763493428924e-05,1.8384400921878357e-06,-5.123884035643364e-05,4.3161674889440234e-05,-8.472756134784943e-05,5.1522642474649246e-05,4.297877853778019e-05,6.442985777399329e-06,1.5217831012521607e-05
P3,1.1069623422592899e-05,2.7539511978155002e-05,8.70075250115356e-05,-3.048439271124059e-05,2.492191969223536e-05,-6.6510541312150145e-06,-6.435683851550768e-05,-2.5078563233491523e-06,-5.9640239048253324e-05,2.7625205992898243e-06
P4,6.127685923067172e-05,2.2616305404301717e-05,1.7895711228446774e-05,-1.2397330507038333e-05,1.0341715482475866e-05,-7.723057308535344e-05,-4.347093076007957e-05,8.842162907172352e-06,2.721057695498786e-05,4.937123331638296e-05
P5,-3.2591634567355476e-05,-4.089561934886299e-06,-0.00013082442078791935,-2.8960827106886203e-05,-2.972200925689672e-07,3.730581266343791e-05,4.5411597208794546e-05,2.53005628178685e-05,-7.730656740831052e-06,-2.6277025949926452e-05
P6,-8.901448074436977e-05,-3.6289860335735925e-05,4.068580247277003e-05,3.655900882762941e-05,6.081898273002217e-05,6.34281352785435e-06,-3.30520359096329e-05,-1.1265484833213827e-05,-2.563310956092365e-05,4.8927174910322765e-05
P7,-6.520028545632748e-05,7.086196896634528e-05,-3.894556981474777e-05,5.134485000210694e-05,-3.421381035646331e-05,-4.0284407108433576e-05,9.91816765647175e-05,-4.2262233369050155e-05,-1.6296520508342653e-05,-4.5668109559618204e-05
P8,2.006259656338414e-05,-6.4035288479607e-05,-3.4112414684314e-05,-1.4204870055025288e-05,-4.570222930344071e-06,-5.947042116502977e-05,8.967229155265426e-06,-4.796693696785788e-05,-1.867453253710685e-05,-3.3319656125782426e-05
P9,-5.0432176356036106e-05,-2.0100065720587935e-05,-1.051948291995561e-05,8.365042377534403e-06,4.843174960065394e-05,2.6332701658737627e-05,2.842588988249961e-06,6.214075910635245e-05,-1.908831923722108e-05,2.5810527403051006e-05
P10,-4.6914720953750155e-05,-2.6938406804324607e-05,-1.9674413039876947e-05,-3.951084151554082e-06,9.90393762558342e-06,2.120371502158623e-05,1.610873942949195e-05,-3.3303210123908876e-06,-6.932161334657298e-05,1.8207733633900784e-05
P11,-7.44641236930868e-05,1.772876661405051e-05,-3.711775230439535e-05,9.511704705053407e-05,-7.539571908818377e-05,-2.6701859886086015e-05,2.487015668695223e-05,-0.00014699071168103057,-1.8998884925074296e-05,1.993003190841815e-05
P12,-3.867236678783796e-05,-7.850191921017491e-05,2.2375802484027405e-05,1.278191490151643e-05,2.9993997849984792e-05,-7.131174092436712e-05,6.124581470525088e-06,-6.52961901320059e-05,-5.7782289895886305e-05,3.4015853055893135e-05
P13,-3.030874083344553e-05,-3.456468036512161e-05,2.0974700981372333e-05,-3.236941588200719e-05,0.00010809902850595233,-8.271894184410907e-05,-3.280826313060417e-05,2.5998431485812958e-05,-1.2845018593403337e-05,4.098048691343449e-05
P14,2.7916935376484826e-05,3.17520332469999e-05,9.013267645746744e-05,-6.568162853010703e-05,2.4926396114674683e-05,-4.791531743291886e-05,-1.838789276916472e-05,-5.150368100291297e-05,-3.477408176827271e-05,2.4203409493944706e-06
P15,1.789819602235343e-05,4.222192486955426e-06,-3.637611673704675e-05,-5.772802056137026e-06,-2.078572281356307e-05,4.844815699590497e-06,1.9862964783347445e-05,-2.6187551476875015e-05,6.446206704427459e-05,-4.7231632464930155e-05
P16,-0.00010108139566374769,-6.114503449269199e-05,-1.7761005785439654e-05,-5.064929949172162e-05,0.0001088510021058425,5.68427474466433e-05,-2.4795877642540872e-05,6.041442059986305e-06,-9.19275651226634e-06,5.332128515471294e-05
P17,6.640470832777745e-06,-4.2775150692237656e-05,-2.0306875825113055e-05,-9.834206748007834e-06,-2.8310410552449816e-05,-5.073865467014561e-05,2.6451360969085387e-05,-4.277289958748735e-05,-0.00011298571689330114,0.0001431220300188602
P18,-1.1092409905862598e-05,-2.2247122775465554e-05,1.5513023834245326e-06,6.12289927254461e-05,-6.0545621730578e-05,-7.431654407201622e-05,7.216529916358834e-05,-6.34533191858108e-05,-7.741675747038445e-05,4.5943312352017166e-05
P19,0.00010114583513468143,2.345086779344729e-05,-0.0001259531257674746,-1.4149130528077689e-05,-0.00012972024297668895,7.875196659552428e-05,8.180210083786298e-05,4.2087021274889516e-05,4.525079822723468e-05,-5.553021335754856e-05
P20,5.927398888285612e-05,3.4336818298691656e-05,-0.00013332205579789274,-2.4033460729114275e-06,-8.646297744581161e-05,3.596634020726656e-05,5.1943820234357256e-05,2.7040924660184235e-05,5.349080110249359e-05,-0.00012456639172488083
P21,-5.5646735278086154e-05,-4.703646212123719e-05,-0.0001347729288482956,2.0753522369555688e-07,-2.1886110227947904e-05,4.794607235775704e-05,-3.33045017874799e-05,-7.18668202596669e-05,-2.3782471461411114e-05,0.00010444724471254444
P22,-3.194780228253993e-05,-1.3811317334674021e-05,-2.20397949715085e-05,-3.8743163516969e-05,4.084517608475644e-05,5.9391054940639496e-05,1.7705466748256602e-05,-3.12417874404375e-05,0.00012019832235136865,8.817983887387097e-05
P23,4.130090483880824e-05,-6.40424881930262e-05,0.00011049932715602776,5.2715485495653715e-05,-3.431982364634784e-05,-4.535601484482359e-05,5.013391811945216e-05,1.2784664206221766e-05,-5.988037048932585e-05,-7.248592783776966e-06
P24,-4.749053767258947e-06,1.8940058175102815e-05,1.4288046389360123e-05,-3.8050658083456194e-05,-4.467242907045879e-05,7.931127621855919e-05,-6.552826537210149e-06,-9.309230189084167e-05,-5.012854010342464e-06,1.9334024413773434e-05
P25,-3.781292766911852e-05,2.2774609395007257e-06,-0.00014357021761102922,-4.559781020157475e-05,1.0874933704185276e-05,4.439248935672862e-05,2.3177135561713207e-05,6.22572810582726e-05,-7.518138323062704e-05,3.28815864123675e-05
P26,1.1045576293769975e-05,-3.470919128644627e-05,-3.184234587896872e-05,1.667458901513045e-05,-9.721092029074327e-06,-2.430401891839089e-05,1.4904318939236829e-05,1.0318968762744983e-06,1.1521025563602681e-05,-5.1676613233374736e-05
P27,4.720353156765318e-05,1.4729470289226616e-05,-2.145808031455787e-05,3.469405985663792e-05,-6.838558001977853e-05,2.304162063370102e-05,1.635482663835434e-05,1.0049938474814609e-05,3.871333497474164e-05,-7.149167132404903e-05
P28,2.8249400127440885e-06,-6.217935212279109e-05,-4.866501827018813e-06,-6.551297502425035e-05,3.43422467521462e-05,1.581555287417935e-05,9.336122149984551e-06,-1.4805750112596282e-05,-9.680264661439224e-06,-7.041696180760208e-05
P29,0.00010633649407383507,1.837642445228155e-05,2.989928603409583e-05,-3.5809815864206417e-05,-5.361162017008744e-05,-5.0530101510904736e-05,-2.774314478266697e-05,-5.721447329248364e-05,2.021416989832431e-05,-7.451716794111015e-06
P30,-2.272980236324787e-05,-3.674411326234114e-05,-1.7064507201908956e-05,1.7020964111563557e-05,-1.0938887223663728e-05,8.125703695769987e-05,1.2349739549161534e-05,1.695121203879957e-05,2.1132343803233807e-05,5.5910305768650374e-05
P31,9.982420268284976e-06,1.7130606322208987e-05,2.5863095064157602e-05,-6.566667084751537e-05,-4.7926615957988826e-05,2.04475122216846e-05,8.777538664571133e-05,-0.00011904190765963437,-1.3852180437816776e-05,0.0001326975297251549
