,0,1,2,3,4,5,6,7,8,9
P1,8.743256279785943e-06,-9.4635095600719e-08,-5.0133757503176616e-06,-2.197176303365305e-06,4.651146539359931e-06,3.224110955638742e-06,4.304335869495415e-07,-2.8825636158401804e-07,5.239837296337172e-07,-1.9258637145769708e-07
P2,-8.15999999937948e-06,8.160244858368041e-06,3.993253277954152e-06,1.3538390460615234e-06,1.9213915292406395e-06,3.5667370791992023e-06,5.035756334280275e-06,3.843079974911503e-07,-3.1082433270906117e-06,1.5218716205360429e-07
P3,6.4608979009138205e-06,-4.446548672604737e-06,-4.125627782424466e-06,3.5857127879204437e-06,1.1161088147170319e-05,2.1677569828190604e-07,2.956687408150777e-06,-1.0249468640440981e-06,-5.956773439589984e-06,-1.1035672258671533e-06
P4,-5.812101616207976e-06,-2.7171410733345543e-06,-4.7481071105659163e-07,6.650852674478956e-07,-3.74941061988241e-06,-1.3684311337696807e-06,3.8223039836753677e-07,-7.144801723250946e-06,-1.7141634413917048e-06,-2.3139856860015053e-06
P5,-1.3730929322892378e-06,2.976997380098453e-07,2.114167309382061e-06,-1.8593072328875653e-06,3.947402209979645e-07,5.216560884365264e-07,-5.533804012678757e-06,-5.582500112242311e-07,1.6707837337273331e-06,-3.0748573929136568e-06
P6,-1.1745343668274669e-05,8.858677051689983e-06,4.596220572877395e-06,-8.133836946729327e-06,8.428104208703347e-06,-8.868481965546232e-07,5.281179930394903e-06,-2.4777121486544715e-06,-9.917362253892919e-06,1.0364808986642064e-05
P7,-9.211247994823255e-06,-1.791737586709412e-06,-1.4901998114041177e-06,-8.083636500738872e-06,-9.648338181245716e-07,-7.918926957628644e-07,-8.589436501281011e-06,4.8023066354506946e-06,-6.809259918784719e-07,-6.780821840763316e-06
P8,1.7541070910944834e-06,2.8831926252677797e-06,6.531039992933033e-06,7.181128965564666e-06,-9.732588425023612e-06,1.0391681459294324e-06,5.072203535419267e-06,-1.5669361833424214e-06,2.5422447675981343e-06,1.7958840388827531e-06
P9,-7.023208060003163e-06,-2.800449700879901e-06,-4.285301822257105e-06,-1.959513257374535e-06,-4.396723473416473e-07,9.52272475843375e-07,-9.893187293866473e-06,8.744715043972071e-06,1.1918602095291027e-05,-3.8780650784664525e-06
P10,4.417147749273935e-06,1.0754754766430425e-07,-1.171662539039425e-06,6.750269411900586e-07,4.514703694758203e-06,-7.253635697814084e-08,-4.004529987029521e-06,4.7136700025385085e-06,-2.056474464075242e-06,-8.565230523407367e-06
P11,3.8867571124967976e-07,-5.7840933350617905e-06,-4.850338096268087e-06,-9.949553798779495e-06,-2.57944896361271e-06,6.639971262580036e-08,6.434621239255391e-08,-5.792217897338151e-06,-3.8016991303693195e-06,4.557829995458515e-06
