,0,1,2,3,4,5,6,7,8,9
P1,-2.301145041886857e-06,-3.3020893124227494e-06,-2.427108384599929e-06,-4.884787897782664e-06,6.736970718174487e-07,-1.28361977182141e-06,7.819088928217113e-06,-4.385600494277871e-06,3.1974038638497826e-06,7.673371292865247e-06
P2,-7.260646285209602e-06,-3.5443614949503665e-06,4.2893136477000285e-06,1.732040492314718e-06,-1.3377535073785807e-07,7.300829404805484e-06,-1.9227547154329573e-07,-3.0948742158047084e-06,1.3824741439937287e-06,5.839921000020927e-06
P3,-8.184927804695378e-07,-2.3689030387367667e-07,-3.7171683590721992e-06,-1.8001934709274464e-06,-7.41253239099082e-07,-2.6508575958667272e-06,-2.4621039684588467e-06,2.9447266462590238e-06,3.1219210394507345e-06,1.3431492323466988e-06
P4,-2.5808086385968848e-06,3.1061631135159196e-06,6.986863562977505e-06,-3.90234273951173e-06,2.262108365130264e-06,5.800216003089986e-06,-2.879600966814843e-07,4.37217430106744e-06,1.223758813890803e-07,-1.783145115285341e-06
P5,-3.1692361567406163e-06,-2.4330460172360645e-06,-2.934722434702578e-06,2.4972578813037543e-06,-3.5414335670140497e-06,3.5846361992106343e-06,-3.0275172706315033e-06,-2.4976711950049844e-06,2.1448800434522132e-07,-1.0158746267082872e-06
P6,-2.890577791732395e-06,1.034266794275329e-06,1.9445021377051077e-06,-1.1024146579447305e-06,-2.705477590786372e-06,7.665285628790383e-07,2.8017249407559465e-06,1.440749186700077e-06,5.656939294730254e-08,9.640187714396431e-07
P7,1.76897684402139e-06,-4.886521367404389e-06,-5.384050453416267e-06,1.8334093776075993e-06,1.9066794303319607e-07,1.837998150120069e-06,-2.094373339443247e-07,-6.221125954157755e-06,-1.445559068170431e-06,-4.797004660616797e-07
P8,2.947106908645996e-06,-2.9304912975563493e-06,6.264877628953512e-06,-1.1183997666171198e-06,-8.251598513236746e-06,-5.551248107086269e-07,2.3062406179347715e-06,-2.4791248542458126e-07,-5.5069132703111125e-06,-3.78960638326611e-06
P9,-9.141554062611816e-07,1.2286352016349796e-06,2.9023465799855294e-06,-1.7357405657963726e-06,3.4128206893812543e-06,2.641890775979892e-07,-3.899265160613218e-06,-3.702960644809102e-06,1.5689437936613018e-06,-1.4519246683048393e-06
P10,-2.4410768036833667e-06,3.3620447954070477e-06,-3.517652925765294e-06,1.2428484298864179e-06,6.06913069725216e-07,8.895943387686683e-07,9.64532350743321e-07,5.892512657398335e-06,-2.07921771937968e-06,-1.9805982981681747e-06
P11,6.114806702184561e-06,-4.217901004979221e-06,-1.226898046983977e-06,-4.0690712227236733e-07,2.95421442606642e-06,5.281472268341288e-06,9.09604029111289e-07,-5.778993792107917e-06,3.1065580119235135e-06,1.3194210758528477e-06
P12,7.997493379721557e-07,-1.6475049446394523e-06,9.198294307857113e-06,7.467879297013661e-07,-8.615845730226612e-06,2.0858429861263564e-06,3.40632448593461e-06,-4.38502424218269e-06,-5.965128821769578e-06,-4.392569084995363e-06
P13,-3.278705653535826e-08,2.476043151331854e-06,8.920562425889338e-06,-3.699502867760148e-06,-2.2296687129441716e-06,2.230772240754969e-06,6.477592044224124e-06,-6.51024761645294e-07,-7.596550912725391e-07,-4.7423865810503367e-07
P14,7.868607118804435e-06,2.5302388210406796e-06,3.191954597486226e-06,-1.515258600172934e-06,-3.134663908257486e-07,-1.3801191997314557e-06,4.090301363819367e-06,1.0486430296913912e-06,1.4034525810985472e-06,-1.5412347974309328e-06
P15,1.566846264360012e-06,2.7047929554884008e-06,-1.849095395494403e-07,1.937733830335533e-06,3.880719053671664e-06,-6.68153332469376e-07,2.424094521254243e-06,5.525916586257738e-06,-1.8969828585349937e-06,9.141631627023958e-07
P16,4.376262851484556e-06,-1.3887980576508417e-06,5.110277663938076e-07,2.2468865044566403e-06,3.3552884807470462e-06,3.039027620673038e-07,-4.146785422414834e-06,-1.0969350787585824e-06,-1.9503220407345945e-06,-2.407896215198143e-06
P17,1.1089120547132106e-06,8.669152921643008e-08,-3.705498649907179e-06,-7.31795170592854e-07,9.554566538409824e-07,3.5594269347723228e-06,1.4476672940026214e-06,1.562535288642062e-07,5.134763055403648e-06,2.125069481058613e-06
P18,-4.1734168031309655e-06,3.1487594167904837e-06,9.456622292307201e-06,1.6901977787221571e-06,-2.7598115893119417e-07,3.6735008944519638e-06,-1.915003957884162e-07,-4.61424597593475e-06,3.1071339334754985e-06,1.9109147629244125e-06
P19,-4.037811328167466e-06,-1.2515363440430364e-06,1.2166113116182523e-06,4.906726411346761e-07,-1.6007830563388042e-06,2.8495191185790687e-06,-7.937498615789894e-07,-4.797337539922975e-06,6.802684989766603e-07,5.350504186955526e-07
P20,2.132384022110294e-06,-4.210748051270276e-06,-7.802878745101483e-07,2.268412116067305e-06,-2.980712883190632e-06,2.2097076847676987e-06,3.370417068695704e-06,-4.09271316399032e-06,1.2210413110846875e-06,3.5302555384162347e-06
P21,-5.4376115840199814e-06,-4.19235395898856e-06,1.326197528717755e-06,-1.8218210876945755e-06,-9.682812204489001e-07,6.631985202857526e-06,1.2240850054729573e-06,-2.3138487939208536e-06,-2.1790415223432833e-06,1.1993121033081634e-06
P22,-1.3082858758568631e-06,5.575194876198471e-07,1.703214691929186e-06,3.2305701088541493e-06,-1.258104264486524e-06,-2.6160099435614263e-06,3.946858332777472e-06,-1.9532596909821378e-06,-2.8101273229901047e-06,1.964225619274318e-06
P23,1.7068036762629907e-06,3.306972512248966e-06,-3.6449257884668917e-06,1.809943901908941e-06,-2.335498350165995e-06,-1.419229613284828e-06,1.4342001005905028e-06,4.69623287212261e-06,5.107396013844889e-06,1.8468554429426198e-06
P24,-7.494852408530892e-07,-2.8151576391796294e-06,-1.1459465716724435e-05,1.0011150593914708e-06,-1.0089428475543204e-05,1.5501592780654925e-06,-1.8667280618061546e-07,1.042321992513227e-06,-5.021739213561692e-06,-8.32460418792976e-06
P25,-3.677518759116798e-06,-2.630707646702785e-06,3.1937011683797e-06,-5.7688660721021536e-06,-3.548026831884019e-06,1.3704890546292542e-06,-9.671497887715481e-07,9.650016565727621e-07,2.076309022370354e-07,1.1509990834594102e-07
P26,8.079768554967418e-07,6.086173403680177e-06,-4.927736666625977e-06,6.743663671416515e-06,-1.1789442801273789e-06,2.59957641974453e-06,3.7051405291635886e-06,5.596100730328028e-06,5.495047791191361e-07,-1.5154483969983526e-06
P27,8.320219663207791e-07,2.542152031417746e-06,-2.01169118082055e-06,1.05940815958567e-06,-1.3179229406786092e-06,-2.1972281081876455e-06,-4.4886584883686246e-07,7.011560540828453e-06,-1.5756107980573935e-06,-2.059064342874563e-06
P28,-7.117176375530019e-06,-4.787783824784287e-06,-1.0015976744647692e-06,-1.1158851852130166e-06,-6.88408777615269e-06,-1.3658301335826677e-06,1.9037074723126518e-06,-1.9064664849118067e-06,-9.13824587094568e-06,-2.3392802378367533e-06
P29,-4.025766940618492e-07,2.7219687002324046e-06,3.609982140583988e-06,-1.0132777543655537e-06,-4.251023467308402e-06,8.586033146932453e-08,-1.8368591841819853e-06,7.975329151067097e-07,2.0686553553707007e-06,-2.7937307479604183e-06
P30,9.207449671185496e-07,4.419274701887945e-06,-1.5431237982454945e-06,4.536570438684595e-06,2.5510870608189454e-06,-1.411148733259721e-06,1.2754679080481267e-06,-5.552951154101516e-06,5.104547740595634e-07,-1.620053536651486e-06
P31,-7.456861693155446e-06,1.6842853879549735e-06,-4.653014534799089e-06,-1.1633491345947045e-06,-1.314723850163763e-06,6.45691859764693e-06,-1.4994686058205633e-06,-3.160939049675032e-07,3.3287007024130092e-06,-1.3297465885053197e-06
P32,-2.6983554893370574e-07,3.2560451366489595e-07,2.309220739365298e-06,-3.12995019190895e-06,2.650771162019045e-07,-4.812071836726543e-06,-1.8682671104633083e-06,7.809159592858574e-06,-6.373181724793038e-08,1.9591545150939157e-06
P33,-7.100386462512609e-06,4.721643366692777e-06,-6.674650288643867e-07,-1.1703171803736446e-06,-1.4821492318128307e-06,8.77910702559194e-07,-1.9963450374917277e-07,-2.7072635524282262e-06,-5.324193685197023e-07,-4.233192593582709e-06
P34,3.391669369868285e-08,5.565932521323959e-07,1.0614850865283765e-05,6.411462124166682e-06,3.9215848827216736e-07,8.096760079388452e-06,1.4811630333554332e-06,-7.763939705882403e-06,1.4569115078261348e-06,2.367070751692021e-06
P35,2.2911874427595515e-06,3.2890316412430265e-06,-2.743203768379107e-07,-8.606764853989909e-08,-2.449759055547383e-07,4.888781414436776e-06,-1.4491963300125154e-08,-1.6465401597326478e-06,3.645408248480794e-06,-3.669693977422059e-06
P36,4.76972182248989e-06,-2.5073274487055286e-06,-7.459909260893626e-06,4.391769357198899e-06,5.973537769502423e-06,-1.588899188929518e-06,-4.902594247195439e-06,-5.481881073211376e-07,5.702756421849969e-07,8.47240514451075e-07
